"time_ms","F0"
5,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,0
115,0
125,179.963226318359
135,187.54524230957
145,183.367416381836
155,187.935089111328
165,178.474502563477
175,182.121887207031
185,184.141036987305
195,178.386444091797
205,176.139602661133
215,182.420684814453
225,181.403305053711
235,181.213851928711
245,0
255,168.861724853516
265,173.787109375
275,173.794830322266
285,176.60595703125
295,175.943572998047
305,175.617553710938
315,179.098907470703
325,172.338119506836
335,175.628936767578
345,0
355,0
365,171.805068969727
375,175.988357543945
385,184.870391845703
395,181.474914550781
405,181.245452880859
415,200.870254516602
425,0
435,0
445,0
455,0
465,0
475,0
485,0
495,0
505,0
515,0
525,0
535,0
545,0
555,0
565,0
575,0
585,0
595,0
605,0
615,0
625,0
635,0
645,0
655,0
665,0
675,0
685,0
695,0
705,0
715,0
725,0
735,0
745,0
755,0
765,0
775,0
785,0
795,0
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,0
1055,0
1065,0
1075,0
1085,0
1095,0
1105,0
1115,0
1125,0
1135,0
1145,0
1155,0
1165,0
1175,0
1185,0
1195,0
1205,0
1215,0
1225,0
1235,0
1245,0
1255,0
1265,0
1275,0
1285,0
1295,0
1305,0
1315,0
1325,0
1335,0
1345,0
1355,0
1365,0
1375,0
1385,0
1395,0
1405,0
1415,0
1425,0
1435,0
1445,0
1455,0
1465,0
1475,0
1485,0
1495,0
1505,0
1515,0
1525,0
1535,0
1545,0
1555,107.348037719727
1565,107.575119018555
1575,106.149391174316
1585,101.263931274414
1595,0
1605,0
1615,0
1625,0
1635,0
1645,0
1655,0
1665,0
1675,0
1685,0
1695,0
1705,147.296783447266
1715,140.932952880859
1725,136.816528320312
1735,134.278961181641
1745,131.271194458008
1755,137.931030273438
1765,0
1775,0
1785,154.472610473633
1795,150.293640136719
1805,145.60417175293
1815,140.184356689453
1825,138.237182617188
1835,133.691543579102
1845,126.892509460449
1855,0
1865,0
1875,0
1885,0
1895,0
1905,133.172134399414
1915,132.739379882812
1925,126.771102905273
1935,0
1945,0
1955,0
1965,0
1975,0
1985,0
1995,0
2005,0
2015,0
2025,0
2035,0
2045,128.930847167969
2055,126.748710632324
2065,125.212799072266
2075,127.416229248047
2085,0
2095,0
2105,0
2115,0
2125,0
2135,0
2145,0
2155,0
2165,0
2175,0
2185,123.339385986328
2195,123.328506469727
2205,121.752777099609
2215,119.700744628906
2225,119.089462280273
2235,118.917137145996
2245,114.859275817871
2255,118.480361938477
2265,124.736656188965
2275,123.423561096191
2285,120.085090637207
2295,117.037490844727
2305,121.250396728516
2315,125.984252929688
2325,0
2335,0
2345,0
2355,0
2365,0
2375,0
2385,0
2395,0
2405,0
2415,0
2425,0
2435,0
2445,106.215538024902
2455,106.447807312012
2465,106.65892791748
2475,106.77449798584
2485,108.456428527832
2495,111.660369873047
2505,107.143852233887
2515,107.038330078125
2525,107.352027893066
2535,106.932189941406
2545,0
2555,120
2565,123.880012512207
2575,121.661376953125
2585,123.141510009766
2595,125.926750183105
2605,130.460891723633
2615,139.178604125977
2625,0
2635,134.927825927734
2645,143.391250610352
2655,139.855163574219
2665,0
2675,0
2685,145.015106201172
2695,143.660781860352
2705,146.007598876953
2715,145.329772949219
2725,148.673583984375
2735,151.011627197266
2745,153.646087646484
2755,155.85710144043
2765,156.634536743164
2775,158.058303833008
2785,156.546203613281
2795,153.797882080078
2805,149.466156005859
2815,144.905090332031
2825,0
2835,0
2845,0
2855,166.162002563477
