"time_ms","F0"
5,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,0
115,0
125,0
135,0
145,0
155,0
165,0
175,0
185,0
195,0
205,0
215,0
225,0
235,0
245,0
255,0
265,0
275,0
285,0
295,0
305,0
315,0
325,0
335,0
345,0
355,0
365,0
375,0
385,0
395,0
405,0
415,0
425,0
435,0
445,0
455,0
465,0
475,0
485,0
495,0
505,0
515,0
525,0
535,0
545,0
555,0
565,0
575,0
585,0
595,0
605,0
615,0
625,0
635,0
645,0
655,0
665,0
675,0
685,0
695,0
705,0
715,0
725,0
735,0
745,0
755,0
765,0
775,0
785,0
795,0
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,0
1055,243.533737182617
1065,234.258377075195
1075,224.104110717773
1085,220.327865600586
1095,220.613342285156
1105,226.658615112305
1115,218.481521606445
1125,0
1135,221.235198974609
1145,222.882186889648
1155,222.302627563477
1165,0
1175,0
1185,0
1195,0
1205,0
1215,0
1225,0
1235,0
1245,0
1255,0
1265,247.639770507812
1275,247.801895141602
1285,244.898849487305
1295,242.748504638672
1305,245.017303466797
1315,242.861053466797
1325,247.490463256836
1335,243.138717651367
1345,250.644561767578
1355,245.404006958008
1365,241.632278442383
1375,242.17707824707
1385,244.207489013672
1395,237.766662597656
1405,242.170745849609
1415,0
1425,229.586608886719
1435,228.843246459961
1445,233.367248535156
1455,236.358596801758
1465,232.062454223633
1475,231.271514892578
1485,221.223434448242
1495,245.874130249023
1505,0
1515,0
1525,0
1535,0
1545,0
1555,219.939651489258
1565,225.894500732422
1575,232.626022338867
1585,233.783538818359
1595,247.270492553711
1605,227.825576782227
1615,0
1625,0
1635,220.573120117188
1645,220.798690795898
1655,219.805725097656
1665,216.838195800781
1675,213.134338378906
1685,211.286010742188
1695,213.610229492188
1705,218.259567260742
1715,222.017715454102
1725,224.315567016602
1735,222.452545166016
1745,220.188827514648
1755,218.748016357422
1765,217.889266967773
1775,219.318634033203
1785,220.260314941406
1795,218.838729858398
1805,216.021850585938
1815,221.581069946289
1825,215.87776184082
1835,0
1845,0
1855,0
1865,0
1875,0
1885,0
1895,0
1905,195.200134277344
1915,195.91650390625
1925,193.707565307617
1935,192.957962036133
1945,192.404052734375
1955,192.641342163086
1965,191.611190795898
1975,192.621200561523
1985,189.263565063477
1995,191.446395874023
2005,191.671417236328
2015,188.962203979492
2025,193.46549987793
2035,195.197906494141
2045,0
2055,0
2065,0
2075,0
2085,0
2095,0
2105,0
2115,0
2125,0
2135,0
2145,0
2155,0
2165,0
2175,0
2185,0
2195,0
2205,0
2215,0
2225,0
2235,0
2245,0
2255,0
2265,0
2275,0
2285,0
2295,0
2305,0
2315,0
2325,0
2335,0
2345,0
2355,0
2365,0
2375,0
2385,0
2395,0
2405,0
2415,0
2425,0
2435,0
2445,0
2455,0
2465,0
2475,0
2485,0
2495,0
2505,0
2515,0
2525,0
2535,0
2545,0
2555,0
2565,0
2575,0
2585,0
2595,0
2605,0
2615,0
2625,0
2635,0
2645,0
2655,0
2665,0
2675,0
2685,0
2695,0
2705,0
2715,0
2725,0
2735,0
2745,0
2755,0
2765,0
2775,0
2785,0
2795,0
2805,0
2815,0
2825,0
2835,0
2845,0
2855,0
2865,0
2875,0
2885,0
2895,0
2905,0
2915,0
2925,0
2935,0
2945,0
2955,0
2965,0
2975,0
2985,0
2995,0
3005,0
3015,0
3025,0
3035,0
3045,0
3055,0
3065,0
3075,0
3085,0
3095,0
