"time_ms","env"
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0.000101287332631012
110,9.86336690913145e-05
120,9.65231744491544e-05
130,9.49980882301759e-05
140,9.39968198727645e-05
150,9.33484130087213e-05
160,9.29156530361048e-05
170,9.26704385096252e-05
180,9.25101721180557e-05
190,9.24027819846232e-05
200,9.23745989669041e-05
210,9.24046474105738e-05
220,9.24635090033521e-05
230,9.24906451204897e-05
240,9.24615492855381e-05
250,9.23767484190435e-05
260,9.21976057790225e-05
270,9.19322056558013e-05
280,9.16372010999704e-05
290,9.13495193281908e-05
300,9.10619322264158e-05
310,9.07907682791158e-05
320,9.05763532550264e-05
330,9.0458237765496e-05
340,9.04542697776139e-05
350,9.05508631705333e-05
360,9.07311634129684e-05
370,9.09728904878287e-05
380,9.12806581126214e-05
390,9.16482610154127e-05
400,9.20579617606789e-05
410,9.24861082096584e-05
420,9.29039624440397e-05
430,9.32918885636261e-05
440,9.35997724427199e-05
450,9.38169503243444e-05
460,9.3955574943118e-05
470,9.39928227231774e-05
480,9.39153316411602e-05
490,9.37528548362366e-05
500,9.35583834404736e-05
510,9.33559416734429e-05
520,9.31426305723258e-05
530,9.29037352772898e-05
540,9.26559134760474e-05
550,9.24157413433721e-05
560,9.22050816908607e-05
570,9.20433011846493e-05
580,9.19076960021898e-05
590,9.17577682998521e-05
600,9.15967529755862e-05
610,9.14246173258107e-05
620,9.1252674036138e-05
630,9.11267675991315e-05
640,9.11215942349182e-05
650,9.12422757558117e-05
660,9.14781394984719e-05
670,9.18342429040922e-05
680,9.23184591994118e-05
690,9.28983364227083e-05
700,9.35233772010726e-05
710,9.41792326209334e-05
720,9.48427585329795e-05
730,9.54937889687417e-05
740,9.60728975552142e-05
750,9.65513729978912e-05
760,9.68787653571952e-05
770,9.70683549242654e-05
780,9.71378910447741e-05
790,9.71090261554996e-05
800,9.69771282217492e-05
810,9.6749790698077e-05
820,9.6438451023196e-05
830,9.60497602891985e-05
840,9.56156686757824e-05
850,9.51691673486034e-05
860,9.4781929332362e-05
870,9.45112185654822e-05
880,9.43429520869593e-05
890,9.42956512490078e-05
900,9.4407492066534e-05
910,9.46655769243299e-05
920,9.50652911584087e-05
930,9.55825185641511e-05
940,9.62029771180698e-05
950,9.68538726053161e-05
960,9.74870433128205e-05
970,9.80176223344109e-05
980,9.83992815656794e-05
990,9.86030311048596e-05
1000,9.86660021253435e-05
1010,9.90280175665646e-05
1020,0.000101654989454434
1030,0.000113750332506479
1040,0.000146932617843345
1050,0.000224899179220786
1060,0.00037525652265157
1070,0.000622580571300144
1080,0.000990057945572298
1090,0.00150811192193016
1100,0.00220894367812553
1110,0.00310574714798063
1120,0.00420837538518344
1130,0.00552032741535428
1140,0.00706078905314887
1150,0.00888654678675898
1160,0.0110877983144489
1170,0.013780014166205
1180,0.0170846803868892
1190,0.0211161147390519
1200,0.0258321784997343
1210,0.0309431298153938
1220,0.0360822727211266
