"time_ms","env"
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,9.40579059933728e-05
110,9.40307267574922e-05
120,9.40503899929734e-05
130,9.41605472673424e-05
140,9.43906834887881e-05
150,9.47157432751965e-05
160,9.50859841862765e-05
170,9.54625693360228e-05
180,9.5812432620886e-05
190,9.61011029246851e-05
200,9.63017287496134e-05
210,9.6417733019498e-05
220,9.64706279038732e-05
230,9.64446496774461e-05
240,9.63323489232462e-05
250,9.61753168182662e-05
260,9.60231222318156e-05
270,9.59483367714018e-05
280,9.59932004562063e-05
290,9.61689778123995e-05
300,9.64548431072988e-05
310,9.68074992335779e-05
320,9.71794774269012e-05
330,9.75005330941829e-05
340,9.77048677224394e-05
350,9.77518605582417e-05
360,9.76345195136583e-05
370,9.74101653207328e-05
380,9.71217670839146e-05
390,9.68219792518559e-05
400,9.65919689151384e-05
410,9.64612539356265e-05
420,9.64390084948888e-05
430,9.66080044201126e-05
440,9.71407956483145e-05
450,9.84573139072064e-05
460,0.000101762522859373
470,0.000108406853401644
480,0.000120166291055718
490,0.000137742501676075
500,0.000161330446789435
510,0.000191230759207501
520,0.000225940988357269
530,0.000263501606275915
540,0.000301920390647185
550,0.000339285058224809
560,0.000374078598321872
570,0.000404850091935241
580,0.000429663578827721
590,0.000446952975753934
600,0.000456345731677303
610,0.000457918550644541
620,0.000452449073692463
630,0.000440988708937314
640,0.000424773292872155
650,0.000405041981831603
660,0.00038245587653331
670,0.00035758218299587
680,0.000330399795486122
690,0.000301748613770705
700,0.000272593127026249
710,0.000243198319774778
720,0.000215106121625521
730,0.000189717737080847
740,0.000167891696851363
750,0.000149899207329559
760,0.000135391144699156
770,0.000123851408917346
780,0.000115333652426308
790,0.000109788418385507
800,0.000106422640152366
810,0.000104562495016537
820,0.00010343238683081
830,0.000102570472669169
840,0.000101830360534791
850,0.000101253658412161
860,0.000100908655317046
870,0.000100793345766599
880,0.000100946614940488
890,0.000101380421862813
900,0.000102043036138022
910,0.000102890262314324
920,0.000103765185811855
930,0.000104501901087808
940,0.000104997669824486
950,0.000105247174152613
960,0.000105262771684807
970,0.000105017126682043
980,0.000104494063235184
990,0.000103743986032852
1000,0.000102839344845293
1010,0.000101842031961767
1020,0.000100848427915656
1030,9.99712371660614e-05
1040,9.92816057308436e-05
1050,9.88136857870103e-05
1060,9.932840284673e-05
1070,0.000103619268459556
1080,0.000117809531224489
1090,0.000159376832843945
1100,0.00026254070848908
1110,0.000457316480746282
1120,0.000751970724484086
1130,0.00122190424937876
1140,0.00205547945537306
1150,0.00353658400418883
1160,0.00594017611461004
1170,0.00946428230895488
1180,0.014189397493556
1190,0.02012185280377
1200,0.0271283425238236
1210,0.034874634082305
1220,0.0428557263537321
1230,0.0505024586280349
1240,0.057293102022199
1250,0.0627815079665639
1260,0.0666560803530293
1270,0.0687575981066212
1280,0.0690770793508685
1290,0.0677388033291547
1300,0.0649950118678657
