"time_ms","F0"
5,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,0
115,0
125,0
135,0
145,0
155,0
165,0
175,0
185,0
195,0
205,0
215,0
225,0
235,0
245,0
255,0
265,0
275,0
285,0
295,0
305,0
315,0
325,0
335,0
345,0
355,0
365,0
375,0
385,0
395,0
405,0
415,0
425,0
435,0
445,0
455,0
465,0
475,0
485,0
495,0
505,0
515,0
525,0
535,0
545,0
555,0
565,0
575,0
585,0
595,0
605,0
615,0
625,0
635,0
645,0
655,0
665,0
675,0
685,0
695,0
705,0
715,0
725,0
735,0
745,0
755,0
765,0
775,0
785,0
795,0
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,0
1055,0
1065,0
1075,0
1085,0
1095,0
1105,0
1115,0
1125,0
1135,0
1145,0
1155,0
1165,0
1175,0
1185,0
1195,0
1205,0
1215,0
1225,0
1235,208.310104370117
1245,208.145462036133
1255,209.955139160156
1265,206.86767578125
1275,204.064468383789
1285,205.890762329102
1295,201.046249389648
1305,199.44792175293
1315,196.449172973633
1325,194.963226318359
1335,194.047088623047
1345,192.927749633789
1355,190.212203979492
1365,188.764999389648
1375,185.810150146484
1385,190.120223999023
1395,179.875457763672
1405,0
1415,0
1425,0
1435,0
1445,0
1455,0
1465,186.57373046875
1475,184.045562744141
1485,172.363922119141
1495,189.146820068359
1505,190.95915222168
1515,187.793701171875
1525,188.997161865234
1535,180.514251708984
1545,0
1555,178.840362548828
1565,181.983337402344
1575,187.057159423828
1585,189.233337402344
1595,0
1605,191.923233032227
1615,181.597229003906
1625,189.590148925781
1635,193.033157348633
1645,201.809631347656
1655,211.483306884766
1665,220.229782104492
1675,228.523300170898
1685,235.804748535156
1695,0
1705,0
1715,0
1725,0
1735,0
1745,0
1755,0
1765,0
1775,0
1785,0
1795,0
1805,0
1815,0
1825,287.813354492188
1835,278.837738037109
1845,270.854217529297
1855,0
1865,0
1875,0
1885,0
1895,0
1905,0
1915,0
1925,0
1935,0
1945,0
1955,0
1965,0
1975,0
1985,0
1995,0
2005,0
2015,0
2025,0
2035,206.833770751953
2045,205.637176513672
2055,205.017700195312
2065,199.408874511719
2075,201.240280151367
2085,202.975463867188
2095,207.333602905273
2105,216.826110839844
2115,203.043380737305
2125,204.798828125
2135,199.466583251953
2145,205.879547119141
2155,203.05534362793
2165,205.578872680664
2175,202.250457763672
2185,204.857192993164
2195,201.186553955078
2205,0
2215,0
2225,202.044982910156
2235,201.174392700195
2245,206.422805786133
2255,220.069641113281
2265,225.269195556641
2275,227.107849121094
2285,237.945297241211
2295,252.32470703125
2305,255.805847167969
2315,266.300109863281
2325,270.344818115234
2335,261.939300537109
2345,278.310974121094
2355,276.539184570312
2365,279.959899902344
2375,286.520843505859
2385,296.383819580078
2395,292.047943115234
2405,273.363250732422
2415,264.476959228516
2425,251.700332641602
2435,0
2445,0
2455,0
2465,0
2475,0
2485,0
2495,0
2505,0
2515,0
2525,0
2535,0
2545,0
2555,0
2565,0
2575,0
2585,0
2595,0
2605,0
2615,0
2625,0
2635,0
2645,242.066421508789
2655,235.563552856445
2665,232.136978149414
2675,232.016006469727
2685,0
2695,229.687515258789
2705,241.418594360352
2715,244.251556396484
2725,239.641403198242
2735,234.100982666016
2745,0
2755,0
2765,0
2775,0
2785,0
2795,204.982666015625
2805,202.268402099609
2815,196.887741088867
2825,192.712509155273
2835,190.948516845703
2845,0
2855,0
2865,0
2875,0
2885,0
2895,0
2905,0
2915,194.028411865234
