"time_ms","F0"
5,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,0
115,0
125,0
135,0
145,0
155,0
165,0
175,0
185,0
195,0
205,0
215,0
225,0
235,0
245,0
255,0
265,0
275,0
285,0
295,0
305,0
315,0
325,0
335,0
345,0
355,0
365,0
375,0
385,0
395,0
405,0
415,0
425,0
435,0
445,0
455,0
465,0
475,0
485,0
495,0
505,0
515,0
525,0
535,0
545,0
555,0
565,0
575,0
585,0
595,0
605,0
615,0
625,0
635,0
645,0
655,0
665,0
675,0
685,0
695,0
705,0
715,0
725,0
735,0
745,0
755,0
765,0
775,0
785,0
795,0
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,0
1055,0
1065,0
1075,0
1085,0
1095,0
1105,0
1115,0
1125,0
1135,0
1145,0
1155,0
1165,0
1175,0
1185,0
1195,0
1205,0
1215,0
1225,0
1235,0
1245,0
1255,0
1265,0
1275,194.033218383789
1285,192.384765625
1295,192.764633178711
1305,190.201019287109
1315,190.65168762207
1325,190.792541503906
1335,194.370513916016
1345,194.185424804688
1355,191.215042114258
1365,190.307113647461
1375,191.382171630859
1385,191.637924194336
1395,0
1405,0
1415,0
1425,0
1435,0
1445,0
1455,0
1465,0
1475,0
1485,0
1495,0
1505,0
1515,0
1525,0
1535,0
1545,0
1555,0
1565,0
1575,0
1585,0
1595,0
1605,0
1615,0
1625,0
1635,0
1645,0
1655,0
1665,0
1675,0
1685,0
1695,0
1705,0
1715,0
1725,0
1735,0
1745,0
1755,0
1765,0
1775,0
1785,0
1795,0
1805,0
1815,0
1825,0
1835,0
1845,0
1855,0
1865,0
1875,0
1885,0
1895,210.609466552734
1905,195.486877441406
1915,190.249237060547
1925,192.383285522461
1935,189.757415771484
1945,0
1955,0
1965,0
1975,0
1985,0
1995,0
2005,0
2015,0
2025,0
2035,0
2045,0
2055,0
2065,0
2075,0
2085,0
2095,0
2105,0
2115,0
2125,0
2135,0
2145,0
2155,0
2165,232.614593505859
2175,232.557312011719
2185,228.973495483398
2195,223.180847167969
2205,217.307968139648
2215,0
2225,0
2235,0
2245,0
2255,0
2265,0
2275,0
2285,0
2295,0
2305,0
2315,0
2325,0
2335,0
2345,0
2355,0
2365,0
2375,0
2385,0
2395,0
2405,0
2415,0
2425,0
2435,0
2445,0
2455,213.368453979492
2465,211.004470825195
2475,206.280731201172
2485,200.372192382812
2495,200.991821289062
2505,198.322387695312
2515,206.076507568359
2525,206.705169677734
2535,191.428573608398
2545,202.004333496094
2555,207.532775878906
2565,194.339874267578
2575,182.562698364258
2585,186.111526489258
2595,0
2605,211.595260620117
2615,190.845138549805
2625,184.330627441406
2635,187.503814697266
2645,188.965530395508
2655,188.778182983398
2665,188.500946044922
2675,188.862396240234
2685,191.449188232422
2695,191.945556640625
2705,194.064163208008
2715,197.159439086914
2725,205.540130615234
2735,0
2745,0
2755,0
2765,0
2775,0
2785,0
2795,0
2805,0
2815,0
2825,0
2835,0
2845,0
2855,0
2865,0
2875,0
2885,0
2895,0
2905,193.835556030273
2915,193.069488525391
2925,189.232177734375
2935,180.685729980469
2945,192.309188842773
2955,189.803619384766
2965,0
2975,0
2985,0
2995,187.240600585938
3005,174.155044555664
3015,182.787353515625
3025,187.443557739258
3035,189.344512939453
3045,161.643371582031
3055,0
3065,176.966262817383
3075,180.671112060547
3085,176.066116333008
3095,170.260894775391
3105,179.943771362305
3115,178.119186401367
3125,175.727966308594
3135,173.459365844727
3145,177.073440551758
