"time_ms","F0"
5,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,0
115,0
125,0
135,0
145,0
155,0
165,0
175,0
185,0
195,0
205,0
215,0
225,0
235,0
245,0
255,0
265,0
275,0
285,0
295,0
305,0
315,0
325,0
335,0
345,0
355,0
365,0
375,0
385,0
395,0
405,0
415,0
425,0
435,0
445,0
455,0
465,0
475,0
485,0
495,0
505,0
515,0
525,0
535,0
545,0
555,0
565,0
575,0
585,0
595,0
605,0
615,0
625,0
635,0
645,0
655,0
665,0
675,0
685,0
695,0
705,0
715,0
725,0
735,0
745,0
755,0
765,0
775,0
785,0
795,0
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,0
1055,0
1065,0
1075,0
1085,0
1095,0
1105,0
1115,0
1125,0
1135,0
1145,0
1155,0
1165,0
1175,0
1185,0
1195,0
1205,134.882659912109
1215,140.879669189453
1225,134.763214111328
1235,0
1245,0
1255,0
1265,106.543846130371
1275,108.353675842285
1285,109.085968017578
1295,107.882843017578
1305,108.521774291992
1315,108.476058959961
1325,105.803565979004
1335,104.211898803711
1345,0
1355,0
1365,0
1375,0
1385,0
1395,0
1405,0
1415,0
1425,0
1435,0
1445,0
1455,0
1465,0
1475,0
1485,0
1495,0
1505,0
1515,0
1525,0
1535,0
1545,0
1555,0
1565,0
1575,0
1585,0
1595,0
1605,0
1615,0
1625,0
1635,0
1645,0
1655,0
1665,0
1675,0
1685,0
1695,83.0449829101562
1705,82.7215957641602
1715,80.8230895996094
1725,75.4793319702148
1735,0
1745,0
1755,0
1765,0
1775,0
1785,0
1795,0
1805,0
1815,0
1825,0
1835,0
1845,0
1855,0
1865,0
1875,0
1885,0
1895,0
1905,0
1915,0
1925,0
1935,0
1945,0
1955,0
1965,0
1975,0
1985,0
1995,0
2005,0
2015,0
2025,0
2035,0
2045,0
2055,116.504852294922
2065,116.975364685059
2075,123.737434387207
2085,115.932693481445
2095,126.703659057617
2105,124.660949707031
2115,126.04670715332
2125,126.809867858887
2135,130.133422851562
2145,135.282363891602
2155,137.895736694336
2165,143.816635131836
2175,143.246200561523
2185,146.660522460938
2195,0
2205,147.730194091797
2215,148.12971496582
2225,151.287673950195
2235,157.058242797852
2245,154.159927368164
2255,151.848251342773
2265,152.300979614258
2275,152.412704467773
2285,151.581436157227
2295,152.72184753418
2305,151.87370300293
2315,153.454727172852
2325,155.849182128906
2335,0
2345,0
2355,0
2365,0
2375,0
2385,0
2395,0
2405,0
2415,0
2425,0
2435,0
2445,0
2455,0
2465,0
2475,0
2485,125.984252929688
2495,125.954643249512
2505,127.830444335938
2515,116.161231994629
2525,113.199523925781
2535,117.333305358887
2545,120.267112731934
2555,131.528350830078
2565,0
2575,0
2585,124.530853271484
2595,121.160171508789
2605,116.701065063477
2615,116.685699462891
2625,114.460014343262
2635,115.463455200195
2645,109.385208129883
2655,109.012451171875
2665,110.129104614258
2675,109.366912841797
2685,108.981628417969
2695,108.232025146484
2705,104.343818664551
2715,102.540824890137
2725,103.851142883301
2735,102.758056640625
2745,101.428985595703
2755,100.68953704834
2765,94.6364440917969
2775,97.0169830322266
2785,98.2373352050781
2795,98.4643630981445
2805,107.142860412598
2815,0
2825,0
2835,0
2845,0
2855,0
2865,0
2875,0
2885,0
2895,0
2905,0
2915,0
2925,0
2935,0
2945,0
2955,0
2965,0
2975,120.300750732422
2985,116.556846618652
2995,119.758995056152
3005,116.218269348145
3015,113.005088806152
3025,117.64705657959
3035,0
3045,0
