"time_ms","F0"
5,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,0
115,0
125,0
135,0
145,0
155,0
165,0
175,0
185,0
195,0
205,0
215,0
225,0
235,0
245,0
255,0
265,0
275,0
285,0
295,0
305,0
315,0
325,0
335,0
345,0
355,0
365,0
375,0
385,0
395,0
405,0
415,0
425,0
435,0
445,0
455,0
465,0
475,0
485,0
495,0
505,0
515,0
525,0
535,0
545,0
555,0
565,0
575,0
585,0
595,0
605,0
615,0
625,0
635,0
645,0
655,0
665,0
675,0
685,0
695,0
705,0
715,0
725,0
735,0
745,0
755,0
765,0
775,0
785,0
795,0
805,0
815,0
825,0
835,0
845,0
855,0
865,0
875,0
885,0
895,0
905,0
915,0
925,0
935,0
945,0
955,0
965,0
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,0
1045,211.467010498047
1055,212.703094482422
1065,206.925354003906
1075,197.968765258789
1085,197.981521606445
1095,193.998992919922
1105,187.823272705078
1115,193.915725708008
1125,193.078018188477
1135,192.594970703125
1145,190.159744262695
1155,185.494171142578
1165,186.546981811523
1175,187.259216308594
1185,186.504333496094
1195,187.460342407227
1205,187.656539916992
1215,187.636672973633
1225,189.931335449219
1235,189.680374145508
1245,188.85090637207
1255,188.58967590332
1265,188.331466674805
1275,187.212051391602
1285,188.623641967773
1295,188.973281860352
1305,188.480133056641
1315,188.031753540039
1325,187.695617675781
1335,185.558349609375
1345,183.326385498047
1355,185.191879272461
1365,187.445083618164
1375,196.010879516602
1385,198.278823852539
1395,197.166580200195
1405,203.31086730957
1415,203.586227416992
1425,215.693618774414
1435,214.58381652832
1445,222.381866455078
1455,222.018798828125
1465,240.479293823242
1475,245.827392578125
1485,243.015243530273
1495,252.735717773438
1505,261.157867431641
1515,265.739959716797
1525,269.184020996094
1535,273.102966308594
1545,272.799377441406
1555,274.804870605469
1565,275.696350097656
1575,274.856842041016
1585,276.555786132812
1595,277.789489746094
1605,281.6298828125
1615,278.958251953125
1625,277.592041015625
1635,281.184783935547
1645,281.488800048828
1655,283.558746337891
1665,285.868499755859
1675,286.353454589844
1685,287.174835205078
1695,285.835418701172
1705,283.843475341797
1715,285.710754394531
1725,285.746185302734
1735,284.912261962891
1745,286.037078857422
1755,286.827606201172
1765,287.677947998047
1775,287.466857910156
1785,286.717681884766
1795,285.168029785156
1805,283.867950439453
1815,284.028930664062
1825,283.168426513672
1835,282.306243896484
1845,278.259185791016
1855,275.479461669922
1865,270.660797119141
1875,267.623779296875
1885,265.379577636719
1895,257.725708007812
1905,258.778717041016
1915,243.658142089844
1925,239.296371459961
1935,240.083038330078
1945,233.043090820312
1955,229.092849731445
1965,223.67155456543
1975,224.283721923828
1985,223.322052001953
1995,224.914764404297
2005,226.45491027832
2015,228.456970214844
2025,228.04655456543
2035,235.254470825195
2045,234.407913208008
2055,238.859176635742
2065,231.099914550781
2075,240.774078369141
2085,0
2095,0
2105,0
2115,228.782897949219
2125,228.329956054688
2135,224.112060546875
2145,0
2155,0
2165,0
2175,0
2185,0
2195,0
2205,0
2215,0
2225,0
2235,0
2245,0
2255,0
2265,0
2275,0
2285,0
2295,0
2305,0
2315,0
2325,0
2335,0
2345,0
2355,0
2365,0
2375,0
2385,0
2395,0
2405,0
2415,0
2425,0
2435,0
2445,0
2455,0
2465,0
2475,0
2485,0
2495,0
2505,0
2515,0
2525,0
2535,0
2545,0
2555,0
2565,0
2575,250.045455932617
2585,240.842681884766
2595,252.720245361328
2605,255.261154174805
2615,258.584411621094
2625,262.898529052734
2635,267.323150634766
2645,268.186645507812
2655,270.562713623047
2665,249.234939575195
2675,236.690002441406
