"time_ms","env"
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,9.45197469235842e-05
110,9.42555245115589e-05
120,9.40621305313012e-05
130,9.39385671531802e-05
140,9.38586549229134e-05
150,9.38316977314287e-05
160,9.38107702435538e-05
170,9.37563232751516e-05
180,9.36614213357003e-05
190,9.35489946250051e-05
200,9.34356858225376e-05
210,9.33306565364006e-05
220,9.32720595914432e-05
230,9.32834556888495e-05
240,9.33531928884577e-05
250,9.34567820933075e-05
260,9.35699181958017e-05
270,9.3695208594749e-05
280,9.38342018336594e-05
290,9.39823319834267e-05
300,9.41665571224203e-05
310,9.43629110535005e-05
320,9.45207105980714e-05
330,9.46079253015719e-05
340,9.46147647938686e-05
350,9.45509061989974e-05
360,9.44448540005502e-05
370,9.43485730396408e-05
380,9.42908376579831e-05
390,9.42813940552853e-05
400,9.43410857666614e-05
410,9.44887841391839e-05
420,9.46995137565766e-05
430,9.49966956079894e-05
440,9.53765324567379e-05
450,9.57903208335541e-05
460,9.61757844391949e-05
470,9.64662868762221e-05
480,9.66238283679865e-05
490,9.66203379119346e-05
500,9.6444258960654e-05
510,9.61221315001238e-05
520,9.5732383899437e-05
530,9.53473602497366e-05
540,9.50062098667791e-05
550,9.46880193653417e-05
560,9.43892330821582e-05
570,9.41409131996321e-05
580,9.39507979708977e-05
590,9.38179836251432e-05
600,9.37360936675057e-05
610,9.36957222921172e-05
620,9.36859520069018e-05
630,9.36493589529333e-05
640,9.35583045300282e-05
650,9.34427288227659e-05
660,9.33537618241022e-05
670,9.33400837273626e-05
680,9.34016239820307e-05
690,9.35398496547979e-05
700,9.37401687176974e-05
710,9.40261229837768e-05
720,9.43603347904562e-05
730,9.47178105239946e-05
740,9.50789908267701e-05
750,9.5443595920444e-05
760,9.57858631633487e-05
770,9.60860500022049e-05
780,9.63540754789904e-05
790,9.65799423097182e-05
800,9.67604129463093e-05
810,9.68781029702656e-05
820,9.69089645423447e-05
830,9.68864338028039e-05
840,9.68474900333752e-05
850,9.68282060884149e-05
860,9.68251360144163e-05
870,9.67974843555089e-05
880,9.67171572542557e-05
890,9.65570627692676e-05
900,9.63028281121571e-05
910,9.59328741554303e-05
920,9.55078524736508e-05
930,9.50516729822592e-05
940,9.45736088830595e-05
950,9.40966335662196e-05
960,9.36431923390432e-05
970,9.31874668349275e-05
980,9.27411202573809e-05
990,9.23111812187904e-05
1000,9.18663212229186e-05
1010,9.14554681378902e-05
1020,9.11620758046844e-05
1030,9.10371817436265e-05
1040,9.10978463119628e-05
1050,9.12819989606188e-05
1060,9.15688210684621e-05
1070,9.20131015607685e-05
1080,9.29655000907413e-05
1090,9.5707022577618e-05
1100,0.000103454489928247
1110,0.000129220891988772
1120,0.000243355825166614
1130,0.000590803094526809
1140,0.00136538812554861
1150,0.00280216008860042
1160,0.00520969196789489
1170,0.00896768958261587
1180,0.0144075848505269
1190,0.0217212937406417
1200,0.0309534875319177
