"time_ms","env"
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,9.8525893808578e-05
110,9.81132214181811e-05
120,9.77059877033107e-05
130,9.73208240300748e-05
140,9.6963535048506e-05
150,9.66351271256811e-05
160,9.63415280866357e-05
170,9.61337245617625e-05
180,9.60483622503793e-05
190,9.60457924981251e-05
200,9.61259185484793e-05
210,9.62968224114557e-05
220,9.65420900839078e-05
230,9.68070491459934e-05
240,9.70482670755631e-05
250,9.72287259667156e-05
260,9.73473334817871e-05
270,9.73639789009692e-05
280,9.72792564758323e-05
290,9.71083901377472e-05
300,9.68861225330511e-05
310,9.67082447364835e-05
320,9.66204896634132e-05
330,9.66981513946728e-05
340,9.69942459756333e-05
350,9.74835300184282e-05
360,9.80708835283033e-05
370,9.86666032608419e-05
380,9.91748134792381e-05
390,9.9576217713708e-05
400,9.98562329382263e-05
410,9.9993510624227e-05
420,9.99630508648946e-05
430,9.98133299461661e-05
440,9.9572465070313e-05
450,9.93178593661531e-05
460,9.90744755399502e-05
470,9.88779118475985e-05
480,9.87360869467626e-05
490,9.86428870775977e-05
500,9.85926121526969e-05
510,9.85329531835735e-05
520,9.84791594811349e-05
530,9.83665170469497e-05
540,9.81373072549334e-05
550,9.77930980175722e-05
560,9.73894457043431e-05
570,9.69606692740946e-05
580,9.65724153468035e-05
590,9.62746544280644e-05
600,9.61228918644554e-05
610,9.61170876280814e-05
620,9.62186280331114e-05
630,9.63832388153786e-05
640,9.65852941503401e-05
650,9.67345643139167e-05
660,9.6786262915384e-05
670,9.67164917497479e-05
680,9.65345638787026e-05
690,9.62670259169822e-05
700,9.5964097783114e-05
710,9.56509089037924e-05
720,9.53134817385366e-05
730,9.50027702330135e-05
740,9.48148704447662e-05
750,9.47466715300308e-05
760,9.47822602026259e-05
770,9.49671335402086e-05
780,9.52854994104818e-05
790,9.56605318744266e-05
800,9.59925421859103e-05
810,9.62668625588451e-05
820,9.6486953526723e-05
830,9.66203713134145e-05
840,9.66389851998597e-05
850,9.65320733189108e-05
860,9.634382059204e-05
870,9.62126225738043e-05
880,9.62323689419337e-05
890,9.64955723285561e-05
900,9.69606514684698e-05
910,9.75950111567356e-05
920,9.83461174425053e-05
930,9.913341685699e-05
940,9.99991249633539e-05
950,0.000102652472741192
960,0.000112788854491773
970,0.000158135609214504
980,0.000307386785605109
990,0.000640604905870428
1000,0.00123890590245793
1010,0.00217318910161722
1020,0.00348866031592608
1030,0.00519485712352657
1040,0.00727248005313675
1050,0.00966731404790546
1060,0.012292308777703
1070,0.0150242525819496
1080,0.0177005352779193
1090,0.0201549285731402
1100,0.0222304717175803
1110,0.0238051687468522
1120,0.0248447496628817
1130,0.0254153728638539
1140,0.0256512153464378
1150,0.0257219878994431
1160,0.0258012971568078
1170,0.0260512299092496
1180,0.0265927310045016
1190,0.0275205252630126
1200,0.0289215256585508
1210,0.0309007975143491
1220,0.0335927686685297
1230,0.0370617861050355
