"time_ms","env"
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,9.53158967491317e-05
110,9.56619731916283e-05
120,9.60254364478363e-05
130,9.63535123137553e-05
140,9.66114814267298e-05
150,9.68038242024906e-05
160,9.69459181075487e-05
170,9.70487047517573e-05
180,9.70595461226751e-05
190,9.69569828119063e-05
200,9.67570423425785e-05
210,9.64781720179014e-05
220,9.61454899956001e-05
230,9.57928055815005e-05
240,9.54966904005086e-05
250,9.54590354512642e-05
260,9.65485594833063e-05
270,9.99246874950302e-05
280,0.000105676086867047
290,0.000113409632395095
300,0.00012244977456191
310,0.00013190060667817
320,0.00014078163227211
330,0.000148230934891947
340,0.000153517556622641
350,0.000156090779087064
360,0.00015569275887491
370,0.00015236252718226
380,0.000146479413121346
390,0.000138654529313331
400,0.000129677130949862
410,0.000120467388492917
420,0.000111989537481872
430,0.000105124428991093
440,0.000100500471927392
450,9.83924847197552e-05
460,9.81344739440541e-05
470,9.84347774463763e-05
480,9.88565940345189e-05
490,9.91940521088808e-05
500,9.93653057472134e-05
510,9.93694485540936e-05
520,9.92277233699859e-05
530,9.89303865365917e-05
540,9.8475828149753e-05
550,9.7916110427031e-05
560,9.72764494772422e-05
570,9.65936798946827e-05
580,9.59091875286685e-05
590,9.5258130659509e-05
600,9.46550701540975e-05
610,9.41239501742376e-05
620,9.36528097633272e-05
630,9.32129674679609e-05
640,9.28059924064959e-05
650,9.24727506386544e-05
660,9.22435848352781e-05
670,9.21446278201991e-05
680,9.21224201928474e-05
690,9.21702858675796e-05
700,9.22367689148497e-05
710,9.22930387931447e-05
720,9.232140771878e-05
730,9.23425856548895e-05
740,9.23761632849366e-05
750,9.24042056294023e-05
760,9.2443903657659e-05
770,9.24982955368532e-05
780,9.25453547436918e-05
790,9.25856725836773e-05
800,9.26323470993891e-05
810,9.27081379018452e-05
820,9.28029813649771e-05
830,9.29054213261752e-05
840,9.30117109151201e-05
850,9.31029885440635e-05
860,9.31710018700713e-05
870,9.32310846087019e-05
880,9.33087552040019e-05
890,9.33751113072792e-05
900,9.34287586179407e-05
910,9.34840933254747e-05
920,9.35505380819523e-05
930,9.36191646278203e-05
940,9.36907863179793e-05
950,9.37900601196724e-05
960,9.39109681956803e-05
970,9.40311003973825e-05
980,9.41349811240453e-05
990,9.42251432521029e-05
1000,9.43899792458646e-05
1010,9.4898226639581e-05
1020,9.78974080730776e-05
1030,0.000109081726267949
1040,0.000130051709441153
1050,0.000160525998884422
1060,0.000198666783979965
1070,0.000241121972674642
1080,0.000283972915030332
1090,0.000323618427244074
1100,0.000358735680970018
1110,0.000402269077507961
1120,0.000541804052828658
1130,0.000928439223115796
1140,0.00174573957696993
1150,0.00318793468759503
1160,0.00544142502393732
1170,0.0086506047412496
1180,0.0129028858228356
1190,0.0182282871076306
1200,0.0245715182929106
1210,0.0317488880132758
1220,0.0394598977289455
1230,0.0473280800836694
1240,0.0549408298416927
