"fileName","language","participant","itemType","itemNum","focus","annotationNum","word","syllText","percProm","duration","duration_noSilence","ampl_median","ampl_noSilence_median","env_slope","pitch_median","pitch_median_norm","pitch_sd","pitch_sd_norm","f0_slope","f0_slope_norm","f1_freq_median","f1_freq_median_norm","f2_freq_median","f2_freq_median_norm","specCentroid_median","entropy_median","HNR_median","amEnvDep_median","fmDep_median","annotationNumTarget","syllTextPre","durationPre","duration_noSilencePre","ampl_medianPre","ampl_noSilence_medianPre","env_slopePre","pitch_medianPre","pitch_median_normPre","pitch_sdPre","pitch_sd_normPre","f0_slopePre","f0_slope_normPre","f1_freq_medianPre","f1_freq_median_normPre","f2_freq_medianPre","f2_freq_median_normPre","specCentroid_medianPre","entropy_medianPre","HNR_medianPre","amEnvDep_medianPre","fmDep_medianPre","syllTextPost","durationPost","duration_noSilencePost","ampl_medianPost","ampl_noSilence_medianPost","env_slopePost","pitch_medianPost","pitch_median_normPost","pitch_sdPost","pitch_sd_normPost","f0_slopePost","f0_slope_normPost","f1_freq_medianPost","f1_freq_median_normPost","f2_freq_medianPost","f2_freq_median_normPost","specCentroid_medianPost","entropy_medianPost","HNR_medianPost","amEnvDep_medianPost","fmDep_medianPost"
"G01_T_01_F_3_Adj_gʁy-_3","German",1,"target",1,"filler",3,"A","gʁy-",3,0.401,0.36,0.0378784432451921,0.0493373154361552,0.000548073855962653,133.888785396117,-0.762765513280532,27.6619971063526,0.36603545111519,0.281696320499682,0.742784941503271,316.61,-0.690559564053049,1064.08,-1.43736006364724,240.965477585675,0.500277330247288,8.88438705374978,0.37176400238846,0.309587524390529,4,"pre",0.254,0.25,0.0192741608968275,0.0192741608968275,-7.35143035044555e-05,93.190063395718,-1.48919967927361,42.0905089403779,0.997877469036058,-0.0013919156066373,-0.0295967565264264,378.28,-0.399681765753275,1385.64,-0.663149612892687,287.943434192408,0.46480494410248,7.58126861852366,0.350153854667219,0.718611488281027,"postpre",0.256,0.255,0.0626917584805755,0.0626917584805755,-0.000558739697327661,165.435778333165,-0.19968116130532,55.6379354740146,1.59113569393919,-0.181284790039042,-0.520418861071103,359,-0.490619400765755,1355.66,-0.735331567469194,275.134977128905,0.466833282902644,6.85520590014831,0.297898828710943,2.21533180526849
"G01_T_01_F_5_N_kɔf_1","German",1,"target",1,"filler",5,"N","kɔf",1,0.181,0.18,0.0253111281155469,0.0253111281155469,2.59299355579781e-05,NA,NA,NA,NA,-0.47148982456753,-1.3122181263069,827.25,1.71796709272977,2352.4,1.66448969352437,266.002839972171,0.589400051232361,5.39702648665991,0.997200877238428,NA,6,"postpre",0.256,0.255,0.0626917584805755,0.0626917584805755,-0.000558739697327661,165.435778333165,-0.19968116130532,55.6379354740146,1.59113569393919,-0.181284790039042,-0.520418861071103,359,-0.490619400765755,1355.66,-0.735331567469194,275.134977128905,0.466833282902644,6.85520590014831,0.297898828710943,2.21533180526849,"post",0.3,0.215,0.00816019507640819,0.0144276209316133,-9.34287169298142e-05,NA,NA,NA,NA,NA,NA,717.935,1.20236296558303,1282.53,-0.911404494026229,259.5804293699,0.605246112947385,5.45880151197183,0.169719601286711,NA
"G01_T_02_I_2_Adj_li-_2","German",1,"target",2,"information",2,"A","li-",2,0.17,0.165,0.0373946918354893,0.0373946918354893,0.000653569615989889,179.406650959199,0.0496858631479058,22.4309354823434,0.136960923512971,0.678003262164744,1.82407405741431,263.98,-0.938798554234938,2110.72,1.08260394362277,223.446802359825,0.457674358522943,11.7116981012674,1,2.02284946680987,3,"pre",0.206,0.205,0.0338360112016221,0.0338360112016221,-7.27656956410437e-05,185.897923630319,0.165549016026084,2.09346758511478,-0.753641440986103,-0.016140013855773,-0.0698356633953719,393.36,-0.328554196459281,1680.115,0.045849088705603,293.478920282845,0.543627250092581,6.56166380833102,0.998902428672963,0.01363656471545,"post",0.138,0.135,0.0914806510788091,0.0914806510788091,-0.000232446458559864,178.560687453019,0.0345862048818201,9.14717176317621,-0.444751187233592,-0.481953948049833,-1.34076857960308,511.73,0.229759489040058,1641.57,-0.0469545616997155,303.438505108914,0.364501725747504,7.76304209664843,1,0.273029784953667
"G01_T_02_I_5_N_gaː_1","German",1,"target",2,"information",5,"N","gaː",1,0.26,0.255,0.0458817847468639,0.0458817847468639,-2.97230879293214e-05,110.06382250343,-1.18801884306802,0.497013265177608,-0.823552110265859,0.0292574911048657,0.0540274912524273,718.765,1.20627781190359,1419.38,-0.581914818115791,271.257974007139,0.571798864647463,5.17136240088529,0.300785590074024,0.0261424303612368,6,"pre",0.125,0.12,0.0605324070496424,0.0605324070496424,-0.00024825457038824,NA,NA,NA,NA,NA,NA,444.27,-0.0884278998573437,1555.73,-0.253628977338385,300.151112268363,0.524635864424174,4.18909235944673,1,NA,"post",0.287,0.27,0.00934977290422111,0.0105020753186311,-0.000137119039501769,NA,NA,NA,NA,NA,NA,651.89,0.89084968215983,1316.8,-0.828893634008321,302.573367164237,0.477704723220908,3.89306090207195,0.223629250482846,NA
"G01_T_03_I_3_Adj_liː_2","German",1,"target",3,"information",3,"A","liː",2,0.308,0.3,0.0223683320627204,0.0223712326656486,0.000173715552837859,181.2810564455,0.0831422499641939,38.7651047947349,0.852253991718695,0.231705719581016,0.606389922924743,248.35,-1.01252029880159,2110.8,1.08279655724405,215.871529785561,0.480793224422691,6.61299672813312,0.314864476453368,1.48237567801852,4,"pre",0.209,0.205,0.0434905692842364,0.0434905692842364,-0.000197845458689097,191.118693548586,0.258734881699725,2.03157009505294,-0.756352007084311,-0.0140759461328977,-0.0642040336442721,320.725,-0.671150416331246,1577.785,-0.200527809620411,236.466796699427,0.471961737134943,6.48874322481443,0.635570016208979,0.141650349286998,"post",0.133,0.13,0.0474643650996065,0.0474643650996065,5.33205885956438e-05,127.884655518248,-0.869933622399563,4.32211880691548,-0.656046103267098,-0.136808407961663,-0.399068910314966,492.81,0.140519859660591,1558.99,-0.245779972271026,266.89817930498,0.546395041045198,6.44125428636054,1,0.089348011589945
"G01_T_03_I_7_N_ʃtɪft_1","German",1,"target",3,"information",7,"N","ʃtɪft",1,0.432,0.405,0.00923254725493708,0.00996787749033531,-4.19092482329034e-05,159.078302679408,-0.313156162419924,2.77107357306377,-0.723968253639691,NA,NA,1025.525,2.65316727852331,2483.39,1.97987042167569,281.413418215016,0.530525364027928,4.6226372726268,0.266844371058687,0.108246280620605,8,"pre",0.143,0.14,0.0266288483527586,0.0266288483527586,NA,182.650795194661,0.107590806994201,3.2935652075729,-0.701087711800546,NA,NA,383.14,-0.376758689707598,1679.79,0.0450665958691331,268.181477388446,0.490526262153708,5.3523925166375,1,0.0650899559686328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G01_T_04_C_2_Adj_gʁy_","German",1,"target",4,"contrastive",2,"A","gʁy",2,0.446,0.445,0.0191694755914921,0.0191694755914921,9.61045579814836e-05,120.737454608197,-0.997504481558899,21.5612865739669,0.0988779439602559,0.143133239790591,0.364727594315877,310.26,-0.720510496746475,1392.505,-0.646620956516179,230.19043104382,0.515059095630491,7.91760607280175,0.303797816438605,0.543567862350583,3,"pre",0.168,0.165,0.0118223923401227,0.0118223923401227,-7.45414692015594e-05,NA,NA,NA,NA,-0.676103210449345,-1.8704880021616,275.72,-0.883424703869455,2044.865,0.924046818251325,233.180141003887,0.467350245994844,4.81210603268652,0.994368098500139,NA,"postpre",0.17,0.165,0.0403767459534674,0.0403767459534674,-0.000178353373881696,164.237355754438,-0.221071884740721,18.0327396136707,-0.0556414033825884,-0.157474670410177,-0.4554550148789,351.255,-0.527150105287107,1545.38,-0.278548364592115,268.746298250238,0.485532226914643,7.73044061281881,1,0.913141453536162
"G01_T_04_C_4_N_kɛɐ_2","German",1,"target",4,"contrastive",4,"N","kɛɐ",2,0.28,0.275,0.0322559398108049,0.0337976579271757,0.000126590189783211,337.784763931704,2.87658721910722,97.4562294309796,3.42240946241386,0.186533526440617,0.483141512035626,646.805,0.866865352593519,1486.825,-0.419529497021313,285.721751051602,0.515274998303046,5.28408977709295,0.449238377692146,1.42127066041464,5,"postpre",0.17,0.165,0.0403767459534674,0.0403767459534674,-0.000178353373881696,164.237355754438,-0.221071884740721,18.0327396136707,-0.0556414033825884,-0.157474670410177,-0.4554550148789,351.255,-0.527150105287107,1545.38,-0.278548364592115,268.746298250238,0.485532226914643,7.73044061281881,1,0.913141453536162,"post",0.177,0.175,0.0237189292535011,0.0237189292535011,-7.50185503896783e-06,NA,NA,NA,NA,NA,NA,626.18,0.76958377986881,1360.34,-0.724063670624029,289.514799984441,0.549226974431273,NA,1,NA
"G01_T_05_R_2_Adj_gʁyn_2","German",1,"target",5,"corrective",2,"A","gʁyn",2,0.443,0.44,0.0281982754323295,0.0405577819594562,0.000170648166469209,118.0989673293,-1.04459901454964,5.7541029276109,-0.593337783319842,0.0153104390080255,0.0159741693297874,279.095,-0.867505901059957,1557.87,-0.248476562969015,209.335332447207,0.484957310766959,9.70877631338263,0.353367976712175,0.674781101997006,3,"pre",0.436,0.435,0.00735076124821161,0.00890196934905682,-2.58103109263375e-05,NA,NA,NA,NA,0.0313209315708753,0.0596574095875754,664.52,0.950421379784706,1473.93,-0.450576405102168,311.724334429717,0.530517065109377,NA,0.21909389330152,NA,"postpre",0.123,0.12,0.0189821267257506,0.0189821267257506,NA,NA,NA,NA,NA,NA,NA,265.21,-0.93299703498881,2244.27,1.4041483076552,215.28215595962,0.504447726667264,NA,0.98155861579973,NA
"G01_T_05_R_4_N_kɛʁ_1","German",1,"target",5,"corrective",4,"N","kɛʁ",1,0.263,0.26,0.00912377726561076,0.00912377726561076,7.49176254758159e-07,NA,NA,NA,NA,NA,NA,699.28,1.11437325701675,1778.35,0.282366577292098,264.463098013919,0.603349244439764,NA,0.273781352805557,NA,5,"postpre",0.123,0.12,0.0189821267257506,0.0189821267257506,NA,NA,NA,NA,NA,NA,NA,265.21,-0.93299703498881,2244.27,1.4041483076552,215.28215595962,0.504447726667264,NA,0.98155861579973,NA,"post",0.283,0.28,0.00879020463274454,0.00879020463274454,-4.14123195565104e-05,NA,NA,NA,NA,NA,NA,549.79,0.409276417908055,1403.34,-0.620533849183409,336.312901171497,0.524240191360944,NA,0.354247965556648,NA
