"fileName","language","participant","itemType","itemNum","focus","annotationNum","word","syllText","percProm","duration","duration_noSilence","ampl_median","ampl_sd","ampl_noSilence_median","ampl_noSilence_sd","env_slope","CPP_median","CPP_sd","flux_median","flux_sd","novelty_median","novelty_sd","pitch_median","pitch_sd","pitch_median_norm","pitch_sd_norm","f0_slope","f0_slope_norm","f1_freq_median","f1_freq_median_norm","f2_freq_median","f2_freq_median_norm","specCentroid_median","specCentroid_sd","entropy_median","entropy_sd","entropySh_median","entropySh_sd","HNR_median","HNR_sd","amEnvDep_median","amEnvDep_sd","fmDep_median","fmDep_sd"
"C19_T_34_B_8_A_ron_2","Catalan",19,"target",34,"background",8,"A","ron",2,0.239,0.235,0.0742447619244105,0.0552891038982949,0.0742447619244105,0.0552891038982949,-0.000751132378703261,9.50543272026836,1.94352363549134,0.00474631989619789,0.0192092112968675,0.119515148440488,0.216848727720413,219.406462295398,3.39394179304679,-0.789938008312087,-0.742351080452018,-0.204088695103908,-0.314679942849,666.53,0.459614169320508,1107.225,-0.372161862193668,286.194482950296,40.1314505329082,0.336658282109785,0.0719338484500617,0.727054498639468,0.0395221698451255,13.3195439292851,4.12893474256826,0.304205613989493,0.0408279836117175,0.0507480917464065,0
"C19_T_35_B_2_N_e_2","Catalan",19,"target",35,"background",2,"N","e",2,0.156,0.155,0.196008826177279,0.041323500752547,0.196008826177279,0.041323500752547,0.00053908186110917,15.6507333664274,3.19919891366224,0.0077612347727043,0.0138126091010426,0.162410389257805,0.153616489665308,247.351473447824,15.3637946627664,0.0236722497495185,0.8896388824117,0.0101113782610213,0.289399704376201,568.3,-0.39293781352004,849.2,-0.839088684968337,366.446516956116,32.9772706566201,0.195641726410642,0.0400794553933481,0.62003129676643,0.028756465523272,16.1708905740575,3.24273498214258,1,0,0.703191432994068,0
"C19_T_35_B_5_NC_lo_1","Catalan",19,"target",35,"background",5,"NC","lo",1,0.206,0.165,0.1218960463148,0.0584582435441966,0.129566145991185,0.0426769804543302,-0.000868796721982005,11.1041109068447,1.49420605150058,0.0116022888912511,0.0513745262618686,0.092495394608014,0.197805577458904,239.253667950089,6.43967933692466,-0.212092824195456,-0.327090078063246,-0.105173105799166,-0.035721614994082,523.62,-0.780721816302445,760.11,-1.00030760034861,378.130064067995,25.996305550657,0.208408450446102,0.129678730696393,0.655933693662324,0.0784608252432352,15.9842327211024,4.75631015969032,1,0,0.242295626432863,0
"C19_T_35_B_7_A_ron_2","Catalan",19,"target",35,"background",7,"A","ron",2,0.243,0.235,0.0727369078173535,0.0435616302663936,0.0727369078173535,0.0435616302663936,-0.0004707110180145,9.93068071019683,2.65926530836766,0.00432004035756206,0.0618023558554773,0.136477029695225,0.141656620561281,222.081212596641,4.65895387710969,-0.712063489995577,-0.569877195721609,0.0445142872022568,0.386421599701774,668.15,0.473674377120587,1228.29,-0.153080394121911,274.137650057912,30.0602583256244,0.328775608084708,0.0564722749527375,0.71556466422327,0.0299694655390709,11.5345107552979,3.2112513130606,0.167105838675488,0.0903902051610417,0.229587183644767,0
"C20_T_01_F_2_N_le_2","Catalan",20,"target",1,"filler",2,"N","le",2,0.121,0.115,0.279257943746073,0.0373412245733924,0.279257943746073,0.0373412245733924,0.00107326334592601,5.30645336505315,2.11190571380192,0.0410092817770156,0.193968140784537,0.133194638755571,0.148343094191089,267.330707032323,17.28414198239,0.350016506162549,-0.648555186270815,0.26585382581591,0.602003271691235,519.78,-0.209614773513437,1697.96,0.532351932412009,371.887107899657,12.7417059017854,0.374968100267944,0.0725693053210151,0.805127077177837,0.0434859062823388,6.26628863680449,2.07997222321789,1,0,0.662513707271017,0
"C20_T_01_F_8_A_ne_3","Catalan",20,"target",1,"filler",8,"A","ne",3,0.252,0.235,0.0584892269472907,0.0314882783008537,0.0590259249863407,0.0299994522651427,-0.000246647481057398,3.60537825400704,1.77411781067392,0.0146286066143293,0.154040382546832,0.0702731638532634,0.166240269715343,363.561511357584,7.83494008984705,1.53856112737668,-0.926760294481559,-0.133792317149404,-0.763150498781369,461.46,-0.688893808429263,1910.47,1.00629015104861,333.768490703095,20.2272891852965,0.508037564996117,0.0623580012726162,0.84590922763681,0.0253190527894271,8.56710663765279,5.18393355018399,0.590039020846866,0.0151116061573933,0.122403805871289,0.00658219651756806
"C20_T_02_I_2_N_qui_2","Catalan",20,"target",2,"information",2,"N","qui",2,0.158,0.145,0.170788980059656,0.0582472385533185,0.180796664124813,0.0439617293649343,0.00162747041817212,3.810719646485,1.86660306348958,0.00550487645074793,0.081697195712005,0.124168639293316,0.086913363226041,276.188171454387,16.136107822325,0.459414861192989,-0.682355815293523,0.412689682899414,1.10358079837719,375.37,-1.39638921508056,2131.48,1.49918500635366,310.856217001682,5.56397780585564,0.347340203280769,0.0702790189642587,0.759271377124098,0.0423430682781699,9.44319024661468,2.45397391280307,1,0,0.747536141886201,0
"C20_T_02_I_8_A_li_3","Catalan",20,"target",2,"information",8,"A","li",3,0.173,0.165,0.0552411750182323,0.0294513788362278,0.0552411750182323,0.0294513788362278,-0.000383814384763634,8.34387724728811,1.31184083703125,0.0142975949348356,0.0653820451797923,0.159880827595085,0.183630733875313,103.754825869489,6.57396933355551,-1.67030572931744,-0.963886023161515,-0.334594465135704,-1.44907181759737,413.77,-1.08081454188495,2137.41,1.51241004817059,294.345890022637,23.4739189072853,0.436484014466663,0.0522436086263085,0.831808328983204,0.0122114317486755,9.73526369272687,3.30431740272721,1,0,0.0672142799235935,0.0359377345859463
"C20_T_03_I_2_N_li_2","Catalan",20,"target",3,"information",2,"N","li",2,0.164,0.155,0.186437161095701,0.0462757813860245,0.186437161095701,0.0462757813860245,-8.01084516617995e-05,10.9015573868793,4.07728639924698,0.00717351587731097,0.0216226073645684,0.117000732903324,0.182915269134801,137.518278003576,60.3472650035918,-1.25329404881696,0.619317056935317,0.288620387806612,0.67977171382281,396.64,-1.2215904312558,2145.12,1.52960483272514,302.369702139929,15.1647959021151,0.39951359158169,0.0686291895752728,0.818891072266814,0.0308920564971941,7.97483199865376,4.93244839129544,0.990653554286758,0.0872933858766937,1.48669268484821,1.19284481424161
"C20_T_03_I_8_A_li_3","Catalan",20,"target",3,"information",8,"A","li",3,0.219,0.215,0.0746450614823059,0.0322620492015593,0.0746450614823059,0.0322620492015593,-0.000303786740701539,9.84322755703746,1.8756439647577,0.0251325556042197,0.155459103153462,0.102186925291418,0.176597844783116,101.130442158502,0.540603090035204,-1.70271943681544,-1.1415214814512,-0.273360010960715,-1.23990066088468,398.585,-1.20560624533483,2236.81,1.73409118756393,310.202928837534,12.1808539193954,0.450497506489619,0.0530098707288392,0.84786625233144,0.0199791233154308,5.23561568752453,0.941951614552619,0.630701148763356,0.0260248066757698,0.012272011522246,0.00019579557875738
