File,Language,Participant,Item_type,Item_num,Focus,TP,Word,Syll,Syll_num,Prosodic_Prom,min_time,max_time,F0_mean,F0_min,F0_max,F0_range,env_mean,env_min,env_max,env_range,duration,Gender,Age,tier_num,tier_name,tier_type,tier_xmin,tier_xmax,xmin,xmax,text
C01_T_01_F,Catalan,1,target,1,filler,La maleta negra,N,pre,1,NA,2858,2946.00000000003,121.7259349823,118.986740112305,125.974082946777,6.9873428344720026,0.04987158890789012,0.0476685123522922,0.0511897908413678,0.0035212784890756,88.00000000003001,male,19,11,Syll,IntervalTier,0,4.64499999999998,2858,2946.00000000003,pre
C01_T_01_F,Catalan,1,target,1,filler,La maleta negra,N,le,2,1,2946.00000000003,3112.00000000002,134.41939036051446,123.938270568848,139.521362304688,15.583091735840014,0.05891859567394414,0.0466673932110315,0.0700509513789541,0.0233835581679226,165.99999999999,male,19,11,Syll,IntervalTier,0,4.64499999999998,2946.00000000003,3112.00000000002,le
C01_T_01_F,Catalan,1,target,1,filler,La maleta negra,N,post,3,NA,3112.00000000002,3463.00000000002,178.42976780941615,134.387161254883,196.796920776367,62.40975952148398,0.06182873781817791,0.0396581075598516,0.0840741184582336,0.04441601089838199,351,male,19,11,Syll,IntervalTier,0,4.64499999999998,3112.00000000002,3463.00000000002,post
C01_T_01_F,Catalan,1,target,1,filler,La maleta negra,NA,<p>,4,NA,3463.00000000002,3666,NA,Inf,-Inf,-Inf,0.02294425071529349,0.0150347454871519,0.038538318022742,0.02350357253559009,202.99999999998,male,19,11,Syll,IntervalTier,0,4.64499999999998,3463.00000000002,3666,<p>
C01_T_01_F,Catalan,1,target,1,filler,La maleta negra,A,ne,5,2,3666,3910.00000000003,NA,Inf,-Inf,-Inf,0.05184444939012489,0.0180936882447536,0.0652719150472875,0.04717822680253389,244.00000000003,male,19,11,Syll,IntervalTier,0,4.64499999999998,3666,3910.00000000003,ne
C01_T_01_F,Catalan,1,target,1,filler,La maleta negra,A,post,6,NA,3910.00000000003,4088.0000000000196,NA,Inf,-Inf,-Inf,0.0435538087660551,0.0282952637269274,0.0586178073718374,0.03032254364491,177.99999999998954,male,19,11,Syll,IntervalTier,0,4.64499999999998,3910.00000000003,4088.0000000000196,post
C01_T_02_I,Catalan,1,target,2,information,La forquilla de color blau,N,pre,1,NA,2524,2718.99999999999,132.1318328857424,130.033126831055,135.593215942383,5.560089111328011,0.04339796338745103,0.0335677523015496,0.0534575617551303,0.0198898094535807,194.99999999999,male,19,11,Syll,IntervalTier,0,4.15100000000001,2524,2718.99999999999,pre
C01_T_02_I,Catalan,1,target,2,information,La forquilla de color blau,N,qui,2,1,2718.99999999999,2865.00000000001,NA,Inf,-Inf,-Inf,0.0467712920028687,0.0356206201879379,0.0705813755686669,0.03496075538072899,146.00000000002,male,19,11,Syll,IntervalTier,0,4.15100000000001,2718.99999999999,2865.00000000001,qui
C01_T_02_I,Catalan,1,target,2,information,La forquilla de color blau,N,post,3,NA,2865.00000000001,3101,NA,Inf,-Inf,-Inf,0.0776963943810241,0.0524776732106509,0.0911450316776582,0.03866735846700729,235.99999999999,male,19,11,Syll,IntervalTier,0,4.15100000000001,2865.00000000001,3101,post
C01_T_02_I,Catalan,1,target,2,information,La forquilla de color blau,NA,<p>,4,NA,3101,3304.00000000003,NA,Inf,-Inf,-Inf,0.03622794111179937,0.0219346595645081,0.0498774432576693,0.0279427836931612,203.00000000003,male,19,11,Syll,IntervalTier,0,4.15100000000001,3101,3304.00000000003,<p>
C01_T_02_I,Catalan,1,target,2,information,La forquilla de color blau,NC,lor_pre,6,0,3540.00000000002,3646.99999999999,143.08823776245126,141.554763793945,144.562149047852,3.007385253906989,0.07485789101850586,0.0556610371566253,0.0848229381757313,0.029161901019106,106.99999999996999,male,19,11,Syll,IntervalTier,0,4.15100000000001,3540.00000000002,3646.99999999999,lor_pre
C01_T_02_I,Catalan,1,target,2,information,La forquilla de color blau,A,blau,7,1,3646.99999999999,3940,140.22389221191423,138.966003417969,141.237045288086,2.2710418701169885,0.04447500119272069,0.0219706520767299,0.0776371997816614,0.0556665477049315,293.00000000001,male,19,11,Syll,IntervalTier,0,4.15100000000001,3646.99999999999,3940,blau
C01_T_03_I,Catalan,1,target,3,information,El bolígraf blau,N,pre,1,NA,2310,2377.99999999999,NA,Inf,-Inf,-Inf,0.05133868434107529,0.0477120704228672,0.0567323096488166,0.00902023922594939,67.99999999999,male,19,11,Syll,IntervalTier,0,3.51400000000001,2310,2377.99999999999,pre
C01_T_03_I,Catalan,1,target,3,information,El bolígraf blau,N,li,2,1,2377.99999999999,2517,146.50038337707488,131.771591186523,163.548080444336,31.776489257812983,0.07392794591106304,0.0484764212813557,0.097977850148368,0.0495014288670123,139.00000000001,male,19,11,Syll,IntervalTier,0,3.51400000000001,2377.99999999999,2517,li
C01_T_03_I,Catalan,1,target,3,information,El bolígraf blau,N,post,3,NA,2517,2803,174.82104492187491,158.659866333008,190.758422851562,32.09855651855398,0.08238065872647964,0.0610954855343894,0.0980578468090366,0.03696236127464721,286,male,19,11,Syll,IntervalTier,0,3.51400000000001,2517,2803,post
C01_T_03_I,Catalan,1,target,3,information,El bolígraf blau,NA,<p>,4,NA,2803,2889.00000000001,180.93032455444325,177.794235229492,183.135879516602,5.34164428711,0.05586767021349849,0.0526769909721495,0.0603469414830306,0.0076699505108811,86.00000000001,male,19,11,Syll,IntervalTier,0,3.51400000000001,2803,2889.00000000001,<p>
